SKU,Name,Character,Additional Characters,Faction,Series,Team,Line,Company,Type,Category,Price,Qty,Order Date,Ship Date,Vendor,Order #,notes,Item Total,0
OTS-01,Transformers Cubex Toys OTS-01 Engineer HUFF Huffer In Stock,Huffer,,Autobot,G1,,,Bad Cube,third,3PMP,$98.00,1,4/16/2015,4/18/2015,Ebay,1364173777018,,$98.00,"$6,332.09"
WB01-E,Warbotron WB01-E - Fierce Attack,Onslaught,,Decepticon,G1,Combaticon,,Warbotron,third,3PMP,$118.99,1,4/30/2015,5/5/2015,BBTS,10739222,,$118.99,"$6,451.08"
WB01-F,Warbotron WB01-F - X-Ray & Gun Set,Shockwave,,Decepticon,G1,,,Warbotron,third,3PMP,$28.99,1,4/30/2015,5/5/2015,BBTS,10739222,,$28.99,"$6,480.07"
MX-I,MX-I Apollyon,Megatron,,Decepticon,G1,,,X-Transbots,third,3PMP,$149.99,1,5/5/2015,5/6/2015,BBTS,10768510,,$149.99,"$6,630.06"
,"Generations Legends Combiner Wars 2015 Series 03 - Set of 3 (Groove, Warpath, Viper)",Groove,,Autobot,G1,Protectobots,Combiner Wars,Hasbro,first,Legends,$11.33,1,5/6/2015,6/2/2015,BBTS,10778835,,$11.33,"$6,641.39"
,"Generations Legends Combiner Wars 2015 Series 03 - Set of 3 (Groove, Warpath, Viper)",Warpath,,Autobot,G1,,Combiner Wars,Hasbro,first,Legends,$11.33,1,5/6/2015,6/2/2015,BBTS,10778835,,$11.33,"$6,652.72"
,"Generations Legends Combiner Wars 2015 Series 03 - Set of 3 (Groove, Warpath, Viper)",Viper,,Decepticon,GIJOE,,Combiner Wars,Hasbro,first,Legends,$11.33,1,5/6/2015,6/2/2015,BBTS,10778835,,$11.33,"$6,664.05"
,"Generations Deluxe Combiner Wars 2015 Series 03 - Set of 4 (Blades, Streetwise, First Aid, Rook)",Blades,,Autobot,G1,Protectobots,Combiner Wars,Hasbro,first,Deluxe,$16.50,1,5/6/2015,6/2/2015,BBTS,10778835,,$16.50,"$6,680.55"
,"Generations Deluxe Combiner Wars 2015 Series 03 - Set of 4 (Blades, Streetwise, First Aid, Rook)",Streetwise,,Autobot,G1,Protectobots,Combiner Wars,Hasbro,first,Deluxe,$16.50,1,5/6/2015,6/2/2015,BBTS,10778835,,$16.50,"$6,697.04"
,"Generations Deluxe Combiner Wars 2015 Series 03 - Set of 4 (Blades, Streetwise, First Aid, Rook)",First Aid,,Autobot,G1,Protectobots,Combiner Wars,Hasbro,first,Deluxe,$16.50,1,5/6/2015,6/2/2015,BBTS,10778835,,$16.50,"$6,713.54"
,"Generations Deluxe Combiner Wars 2015 Series 03 - Set of 4 (Blades, Streetwise, First Aid, Rook)",Rook,,Autobot,CW,Protectobots,Combiner Wars,Hasbro,first,Deluxe,$16.50,1,5/6/2015,6/2/2015,BBTS,10778835,,$16.50,"$6,730.04"
